person_name,name,patronymic,family_name,person_id,section_id,income_year,position,department
А В Пашковский,А,В,Пашковский,381274,672370,2019,Заместитель директора Департамента,NULL
М П Петров,М,П,Петров,386075,672371,2019,Заместитель директора Департамента,NULL
И И Пивинская,И,И,Пивинская,388977,672372,2019,Директора Департамента,NULL
С В Полякова,С,В,Полякова,376804,672373,2019,Директор Департамента,NULL
Н И Пономарева,Н,И,Пономарева,379156,672374,2019,Заместитель директора Департамента,NULL
Тамара Александровна Почелова,Тамара,Александровна,Почелова,40361,672375,2019,Заместитель директора Департамента,NULL
П Р Прохорова,П,Р,Прохорова,386499,672377,2019,Заместитель директора Департамента,NULL
О И Резник,О,И,Резник,182230,672380,2019,Заместитель директора Департамента,NULL
А М Романов,А,М,Романов,181917,672381,2019,Заместитель директора Департамента,NULL
Михаил Юрьевич Романовский,Михаил,Юрьевич,Романовский,40321,672383,2019,Директор Департамента,NULL
М А Русакова,М,А,Русакова,182334,672384,2019,Заместитель директора Департамента,NULL
Вера Валентиновна Самородова,Вера,Валентиновна,Самородова,60981,672385,2019,Заместитель директора Департамента,NULL
Мария Олеговна Самотина,Мария,Олеговна,Самотина,399100,672386,2019,Заместитель директора Департамента,
А Н Сафронов,А,Н,Сафронов,371191,672387,2019,Заместитель директора Департамента,NULL
Е И Сафронова,Е,И,Сафронова,183230,672388,2019,Директор Департамента,NULL
Юлия Евгеньевна Семашко,Юлия,Евгеньевна,Семашко,40342,672389,2019,Директор Департамента,NULL
Н В Сербина,Н,В,Сербина,183685,672390,2019,Заместитель директора Департамента,NULL
А А Сёмин,А,А,Сёмин,183686,672391,2019,Заместитель директора Департамента,NULL
В М Смирнов,В,М,Смирнов,182976,672392,2019,Заместитель директора Департамента,NULL
О В Смирнова,О,В,Смирнова,182805,672393,2019,Заместитель директора Департамента,NULL
Е В Степанова,Е,В,Степанова,182713,672394,2019,Директор Департамента,NULL
Сухорукова С.Е.,NULL,NULL,NULL,NULL,672395,2019,Заместитель директора Департамента,NULL
Владимир Евгеньевич Татаринцев,Владимир,Евгеньевич,Татаринцев,399101,672396,2019,Заместитель директора Департамента,
Семен Олегович Темных,Семен,Олегович,Темных,399102,672397,2019,Врио заместителя директора Департамента,
Н В Титова,Н,В,Титова,184275,672398,2019,Заместитель директора Департамента,NULL
Тихомиров И.А.,NULL,NULL,NULL,NULL,672399,2019,Заместитель директора Департамента,NULL
А А Тихонов,А,А,Тихонов,183867,672405,2019,Заместитель Директора Департамента,NULL
О Г Ткаченкова,О,Г,Ткаченкова,184276,672406,2019,Заместитель директора Департамента,NULL
С Е Трешкин,С,Е,Трешкин,184277,672407,2019,Заместитель директора Департамента,NULL
О С Ульянова,О,С,Ульянова,373643,672408,2019,Заместитель директора Департамента,NULL
О В Федорова,О,В,Федорова,184611,672409,2019,Заместитель директора Департамента,NULL
И А Храброва,И,А,Храброва,184996,672410,2019,Директор Департамента,NULL
Дмитрий Игоревич Цыганов,Дмитрий,Игоревич,Цыганов,40323,672411,2019,Заместитель директора Департамента,NULL
Ирина Николаевна Чугуева,Ирина,Николаевна,Чугуева,40324,672412,2019,Заместитель директора Департамента,NULL
К А Швед,К,А,Швед,185426,672413,2019,Директор Департамента,NULL
Антоний Николаевич Швиндт,Антоний,Николаевич,Швиндт,399121,672414,2019,директор Департамента,
А В Виланд,А,В,Виланд,174972,672415,2019,Врио руководителя территориального управления,NULL
А А Колович,А,А,Колович,179521,672417,2019,руководитель территориального управления,NULL
Игорь Леонидович Манжуров,Игорь,Леонидович,Манжуров,128995,672419,2019,руководитель территориального управления,NULL
Александр Витальевич Сандаков,Александр,Витальевич,Сандаков,128996,672420,2019,Заместитель руководителя территориального управления,NULL
Ольга Владимировна Беленок,Ольга,Владимировна,Беленок,357677,672476,2019,,NULL
ЮРИЙ ИВАНОВИЧ РАЗОРЕНОВ,ЮРИЙ,ИВАНОВИЧ,РАЗОРЕНОВ,370453,672694,2019,"врио ректора, \Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова\""""",NULL
ДМИТРИЙ ВЛАДИМИРОВИЧ АФАНАСЬЕВ,ДМИТРИЙ,ВЛАДИМИРОВИЧ,АФАНАСЬЕВ,355642,1624959,2020,Заместитель Министра,NULL
Наталья Александровна Бочарова,Наталья,Александровна,Бочарова,132293,1624960,2020,Заместитель Министра,NULL
Елена Сергеевна Дружинина,Елена,Сергеевна,Дружинина,376747,1624961,2020,Заместитель Министра,NULL
Петр Александрович Кучеренко,Петр,Александрович,Кучеренко,131516,1624962,2020,Заместитель Министра,NULL
А М Медведев,А,М,Медведев,180627,1624963,2020,Заместитель Министра,NULL
Александр Вячеславович Нарукавников,Александр,Вячеславович,Нарукавников,132311,1624964,2020,Заместитель Министра,NULL
Андрей Владимирович Омельчук,Андрей,Владимирович,Омельчук,60990,1624965,2020,Заместитель Министра,NULL
А В Архипов,А,В,Архипов,355307,1624966,2020,Помощник министра,NULL
Клещёв С.К.,NULL,NULL,NULL,NULL,1624967,2020,Помощник министра,NULL
Полнякова Е.М.,NULL,NULL,NULL,NULL,1624968,2020,Помощник министра,NULL
И Б Русаков,И,Б,Русаков,370269,1624969,2020,Помощник министра,NULL
Форш П.А.,NULL,NULL,NULL,NULL,1624970,2020,Советник министра,NULL
Танзила Умаровна Албакова,Танзила,Умаровна,Албакова,399141,1624971,2020,Заместитель директора Департамента,
Елена Геннадьевна Артеменко,Елена,Геннадьевна,Артеменко,399142,1624972,2020,Заместитель директора Департамента,
Денис Валерьевич Аширов,Денис,Валерьевич,Аширов,54947,1624973,2020,Директор Департамента,Департамент государственной молодежной политики и воспитательной деятельности
Вугар Алиевич Багиров,Вугар,Алиевич,Багиров,40327,1624974,2020,Директор Департамента,NULL
