person_name,name,patronymic,family_name,person_id,section_id,income_year,position,department
Андрей Анатольевич Толмачев,Андрей,Анатольевич,Толмачев,399115,1625039,2020,Заместитель директора Департамента,Департамент координации информационной и просветительской деятельности
Светлана Леонидовна Толстова,Светлана,Леонидовна,Толстова,399113,1625040,2020,Заместитель директора Департамента,
С Е Трешкин,С,Е,Трешкин,184277,1625041,2020,Заместитель директора Департамента,NULL
Татьяна Анатольевна Трубинова,Татьяна,Анатольевна,Трубинова,399114,1625042,2020,Заместитель директора Департамента,
Н С Трухановская,Н,С,Трухановская,171792,1625043,2020,Директор Департамента,NULL
О С Ульянова,О,С,Ульянова,373643,1625044,2020,Заместитель директора Департамента,NULL
Евгений Викторович Усолов,Евгений,Викторович,Усолов,184352,1625045,2020,Директор Департамента,Департамент управления делами
И А Храброва,И,А,Храброва,184996,1625046,2020,Директор Департамента,NULL
Дмитрий Игоревич Цыганов,Дмитрий,Игоревич,Цыганов,40323,1625047,2020,Заместитель директора Департамента,NULL
Ирина Николаевна Чугуева,Ирина,Николаевна,Чугуева,40324,1625048,2020,Заместитель директора Департамента,NULL
Валентина Юрьевна Шалашникова,Валентина,Юрьевна,Шалашникова,399112,1625049,2020,Заместитель директора Департамента,
Ольга Геннадьевна Шамшина,Ольга,Геннадьевна,Шамшина,132011,1625050,2020,Директор Департамента,NULL
Наталья Леонидовна Шаньгина,Наталья,Леонидовна,Шаньгина,399019,1625051,2020,Заместитель директора Департамента,
К А Швед,К,А,Швед,185426,1625052,2020,Директор Департамента,NULL
А В Виланд,А,В,Виланд,174972,1625053,2020,Врио руководителя территориального управления,NULL
А А Колович,А,А,Колович,179521,1625054,2020,Руководитель территориального управления,NULL
Игорь Леонидович Манжуров,Игорь,Леонидович,Манжуров,128995,1625055,2020,Руководитель территориального управления,NULL
Александр Витальевич Сандаков,Александр,Витальевич,Сандаков,128996,1625056,2020,Заместитель руководителя территориального управления,NULL
Махнова Е.Н.,NULL,NULL,NULL,NULL,1625085,2020,"Врио Директора \Научно-экспериментальное хозяйство \""Снегири\"" Российской академии наук""",NULL
Филимонов А.В.,NULL,NULL,NULL,NULL,1625309,2020,"врио ректора, федеральное государственное бюджетное учреждение высшего образования и науки \Санкт-Петербургский национальный исследовательский академический университет имени Ж.И. Алферова Российской академии наук\""""",NULL
Василенок А.А.,NULL,NULL,NULL,NULL,1625383,2020,"директор, ФГБПОУ \Медицинский колледж\""""",NULL
Александр Николаевич Сауров,Александр,Николаевич,Сауров,61389,1625406,2020,Директор нститута нанотехнологий микроэлектроники Российской академии наук,NULL
Аптекарев А.И.,NULL,NULL,NULL,NULL,1625417,2020,"Директор ФГУ \Федеральный исследовательский центр Институт прикладной математики им. М.В. Келдыша Российской академии наук\""""",NULL
Алексеева О.А.,NULL,NULL,NULL,NULL,1625423,2020,Директор ФГУ «Федеральный научно-исследовательский центр «Кристаллография и фотоника» Российской академии наук»,NULL
Розанов К.Н.,NULL,NULL,NULL,NULL,1625440,2020,,NULL
Соколов И.А.,NULL,NULL,NULL,NULL,1625452,2020,"Директор ФГучреждения \Федеральный исследовательский центр \""Информатика и управление\"" Российской академии наук\""""",NULL
Булатов М.Ф.,NULL,NULL,NULL,NULL,1625455,2020,,NULL
Киселев М.Г.,NULL,NULL,NULL,NULL,1625474,2020,Директор ФГ БУН Институт химии растворов им. Г.А. Крестова Российской академии наук,NULL
Шматко А.Д.,NULL,NULL,NULL,NULL,1625530,2020,Врио директора ФГ БУН Институт проблем региональной экономики Российской академии наук,NULL
Шевченко С.Н.,NULL,NULL,NULL,NULL,1625564,2020,,NULL
Александр Васильевич Латышев,Александр,Васильевич,Латышев,129293,1625602,2020,Директор Институт физики полупроводников им. А.В. Ржанова Сибирского отделения Российской академии наук,NULL
Игорь Валентинович Бухтияров,Игорь,Валентинович,Бухтияров,129141,1625719,2020,,NULL
Романенко А.А.,NULL,NULL,NULL,NULL,1625784,2020,,NULL
Синеговский М.О.,NULL,NULL,NULL,NULL,1625813,2020,"Врио директора ФГ БНУ Федеральный научный центр \Всероссийский научно-исследовательский институт сои\""""",NULL
Лариса Альбертовна Коневских,Лариса,Альбертовна,Коневских,129196,1625826,2020,"Директор ФГАУК автономного учреждения культуры \Троицкий Дом ученых\""""",NULL
С Н Турьев,С,Н,Турьев,790026,1625827,2020,Главный врач ФГАУЗ Больница Пущинского научного центра Российской академии наук,NULL
Власов С.Е.,NULL,NULL,NULL,NULL,1625831,2020,"Директор ФГУ \Федеральный научный центр Научно-исследовательский институт системных исследований Российской академии наук\""""",NULL
Коберник Н.В.,NULL,NULL,NULL,NULL,1625851,2020,"Врио директора ФГАУ \Научно-учебный центр \""Сварка и контроль\"" при МГТУ им. Н.Э. Баумана\""""",NULL
